State,County,City,Zipcode,Date,Price
IL,Lake,Lake Zurich,60047,1997-01-01,257700.0
IL,Lake,Lake Zurich,60047,1997-02-01,254900.0
IL,Lake,Lake Zurich,60047,1997-03-01,252500.0
IL,Lake,Lake Zurich,60047,1997-04-01,250700.0
IL,Lake,Lake Zurich,60047,1997-05-01,249700.0
IL,Lake,Lake Zurich,60047,1997-06-01,249300.0
IL,Lake,Lake Zurich,60047,1997-07-01,249600.0
IL,Lake,Lake Zurich,60047,1997-08-01,251200.0
IL,Lake,Lake Zurich,60047,1997-09-01,254000.0
IL,Lake,Lake Zurich,60047,1997-10-01,256900.0
IL,Lake,Lake Zurich,60047,1997-11-01,260000.0
IL,Lake,Lake Zurich,60047,1997-12-01,263900.0
IL,Lake,Lake Zurich,60047,1998-01-01,268300.0
IL,Lake,Lake Zurich,60047,1998-02-01,273000.0
IL,Lake,Lake Zurich,60047,1998-03-01,277900.0
IL,Lake,Lake Zurich,60047,1998-04-01,282900.0
IL,Lake,Lake Zurich,60047,1998-05-01,287700.0
IL,Lake,Lake Zurich,60047,1998-06-01,292200.0
IL,Lake,Lake Zurich,60047,1998-07-01,295900.0
IL,Lake,Lake Zurich,60047,1998-08-01,299400.0
IL,Lake,Lake Zurich,60047,1998-09-01,302300.0
IL,Lake,Lake Zurich,60047,1998-10-01,303800.0
IL,Lake,Lake Zurich,60047,1998-11-01,303900.0
IL,Lake,Lake Zurich,60047,1998-12-01,303600.0
IL,Lake,Lake Zurich,60047,1999-01-01,303100.0
IL,Lake,Lake Zurich,60047,1999-02-01,302700.0
IL,Lake,Lake Zurich,60047,1999-03-01,302500.0
IL,Lake,Lake Zurich,60047,1999-04-01,302700.0
IL,Lake,Lake Zurich,60047,1999-05-01,303500.0
IL,Lake,Lake Zurich,60047,1999-06-01,304900.0
IL,Lake,Lake Zurich,60047,1999-07-01,306800.0
IL,Lake,Lake Zurich,60047,1999-08-01,309600.0
IL,Lake,Lake Zurich,60047,1999-09-01,312800.0
IL,Lake,Lake Zurich,60047,1999-10-01,315800.0
IL,Lake,Lake Zurich,60047,1999-11-01,318100.0
IL,Lake,Lake Zurich,60047,1999-12-01,320500.0
IL,Lake,Lake Zurich,60047,2000-01-01,322700.0
IL,Lake,Lake Zurich,60047,2000-02-01,324800.0
IL,Lake,Lake Zurich,60047,2000-03-01,327000.0
IL,Lake,Lake Zurich,60047,2000-04-01,329200.0
IL,Lake,Lake Zurich,60047,2000-05-01,331400.0
IL,Lake,Lake Zurich,60047,2000-06-01,333700.0
IL,Lake,Lake Zurich,60047,2000-07-01,335900.0
IL,Lake,Lake Zurich,60047,2000-08-01,338400.0
IL,Lake,Lake Zurich,60047,2000-09-01,340900.0
IL,Lake,Lake Zurich,60047,2000-10-01,343000.0
IL,Lake,Lake Zurich,60047,2000-11-01,344600.0
IL,Lake,Lake Zurich,60047,2000-12-01,346300.0
IL,Lake,Lake Zurich,60047,2001-01-01,347800.0
IL,Lake,Lake Zurich,60047,2001-02-01,349400.0
IL,Lake,Lake Zurich,60047,2001-03-01,351000.0
IL,Lake,Lake Zurich,60047,2001-04-01,352900.0
IL,Lake,Lake Zurich,60047,2001-05-01,355100.0
IL,Lake,Lake Zurich,60047,2001-06-01,357600.0
